item_id,name,category,subcategory,price,description,dietary_tags,calories,preparation_time,popularity_score,seasonal,time_preference,budget_category,image_url
15,Anchovis,pizza,seafood,500,Pizza with anchovies and capers,"pescatarian",440,12,0.65,all,lunch,mid,images/pizza/anchovis.jpg
16,Crevette,pizza,seafood,600,Pizza with shrimp and bell pepper,"pescatarian",520,12,0.70,all,lunch,high,images/pizza/crevette.jpg
17,Poulet barbecue,pizza,chicken,450,BBQ chicken pizza with red onion,"chicken",580,12,0.85,all,dinner,mid,images/pizza/poulet_barbecue.jpg
18,Légumes & poulet,pizza,chicken,500,Chicken pizza with mixed vegetables,"chicken",540,12,0.82,all,dinner,mid,images/pizza/legumes_poulet.jpg
19,Double chicken,pizza,chicken,600,Extra chicken pizza,"chicken",680,12,0.78,all,dinner,high,images/pizza/double_chicken.jpg
20,Merguez,pizza,meat,400,Pizza with merguez sausage and olives,"meat",560,12,0.75,all,dinner,mid,images/pizza/merguez.jpg
21,Viande hachée,pizza,meat,500,Pizza with minced meat,"meat",580,12,0.80,all,dinner,mid,images/pizza/viande_hachee.jpg
22,Pepperoni,pizza,meat,600,Classic pepperoni pizza,"meat",620,12,0.88,all,dinner,high,images/pizza/pepperoni.jpg
23,Pepperoni & Tomates,pizza,meat,650,Pepperoni pizza with diced tomatoes,"meat",640,12,0.85,all,dinner,high,images/pizza/pepperoni_tomates.jpg
24,Mix de viandes,pizza,meat,700,Mixed meat pizza with chicken and pepperoni,"meat",720,12,0.82,all,dinner,high,images/pizza/mix_viandes.jpg
25,Café court,drinks,coffee,50,Espresso coffee,"vegan",5,2,0.90,all,morning,low,images/drinks/cafe_court.jpg
26,Café long,drinks,coffee,80,Long black coffee,"vegan",10,3,0.85,all,morning,low,images/drinks/cafe_long.jpg
27,Double espresso,drinks,coffee,100,Double shot espresso,"vegan",8,2,0.75,all,morning,low,images/drinks/double_espresso.jpg
28,Cappuccino,drinks,coffee,150,Cappuccino with latte art,"vegetarian",120,4,0.88,all,morning,low,images/drinks/cappuccino.jpg
29,Macchiato,drinks,coffee,150,Macchiato with distinct layers,"vegetarian",100,4,0.80,all,morning,low,images/drinks/macchiato.jpg
30,Café crème,drinks,coffee,150,Coffee with cream,"vegetarian",140,4,0.82,all,morning,low,images/drinks/cafe_creme.jpg
31,Café au lait,drinks,coffee,100,Coffee with milk,"vegetarian",80,3,0.78,all,morning,low,images/drinks/cafe_au_lait.jpg
32,Chocolat au lait,drinks,coffee,150,Milk chocolate drink,"vegetarian",200,3,0.70,all,afternoon,low,images/drinks/chocolat_au_lait.jpg
33,Chocolat chaud,drinks,coffee,150,Hot chocolate,"vegetarian",250,3,0.85,all,afternoon,low,images/drinks/chocolat_chaud.jpg
34,Lait,drinks,coffee,60,Plain milk,"vegetarian",150,1,0.60,all,morning,low,images/drinks/lait.jpg
35,Mojito,drinks,juice,150,Green mojito with lime and mint,"vegan",80,5,0.75,summer,afternoon,low,images/drinks/mojito.jpg
36,Tropical,drinks,juice,150,Tropical smoothie with pineapple,"vegan",120,5,0.72,summer,afternoon,low,images/drinks/tropical.jpg
37,Red light,drinks,juice,150,Red smoothie with strawberries,"vegan",100,5,0.68,all,afternoon,low,images/drinks/red_light.jpg
38,Gelato Assorted,dessert,gelato,250,Three scoops of assorted gelato,"vegetarian",300,3,0.80,summer,afternoon,mid,images/desserts/gelato_assorted.jpg
39,Gelato Pistache,dessert,gelato,300,Single pistachio gelato scoop,"vegetarian",280,3,0.75,all,afternoon,mid,images/desserts/gelato_pistache.jpg
40,Croissant,pastry,bakery,30,Golden-brown croissant,"vegetarian",250,1,0.85,all,morning,low,images/pastry/croissant.jpg
41,Pain au chocolat,pastry,bakery,30,Chocolate croissant,"vegetarian",300,1,0.88,all,morning,low,images/pastry/pain_au_chocolat.jpg
42,Chausson,pastry,bakery,50,Apple turnover pastry,"vegetarian",280,1,0.70,all,morning,low,images/pastry/chausson.jpg
43,Hamoud Boualem 1L,drinks,soft_drink,150,1L bottle of soft drinks,"vegan",200,1,0.65,all,any,low,images/drinks/hamoud_1l.jpg
44,Hamoud Boualem 24cL,drinks,soft_drink,100,24cL can of soft drinks,"vegan",80,1,0.70,all,any,low,images/drinks/hamoud_24cl.jpg
45,Hamoud Boualem 33cL,drinks,soft_drink,80,33cL bottle of soft drinks,"vegan",100,1,0.75,all,any,low,images/drinks/hamoud_33cl.jpg
46,IFRUIT 1L,drinks,juice,150,1L juice box variety pack,"vegan",120,1,0.68,all,any,low,images/drinks/ifruit_1l.jpg
47,IFRUIT 33cL,drinks,juice,80,33cL juice box,"vegan",60,1,0.72,all,any,low,images/drinks/ifruit_33cl.jpg
48,Rouiba 1L,drinks,juice,150,1L orange and apricot juice,"vegan",140,1,0.70,all,any,low,images/drinks/rouiba_1l.jpg
49,Rouiba 20cL,drinks,juice,50,20cL orange and apricot juice,"vegan",40,1,0.75,all,any,low,images/drinks/rouiba_20cl.jpg
50,N'Gaous 1L,drinks,juice,150,1L orange and apricot juice,"vegan",130,1,0.68,all,any,low,images/drinks/ngaous_1l.jpg
51,N'Gaous 20cL,drinks,juice,60,20cL orange and apricot juice,"vegan",35,1,0.72,all,any,low,images/drinks/ngaous_20cl.jpg
52,Vichy 33cl,drinks,water,60,33cL sparkling water,"vegan",0,1,0.60,all,any,low,images/drinks/vichy_33cl.jpg
53,Eau Minérale 1.5L,drinks,water,50,1.5L mineral water,"vegan",0,1,0.85,all,any,low,images/drinks/eau_15l.jpg
54,Eau Minérale 50cL,drinks,water,30,50cL mineral water,"vegan",0,1,0.80,all,any,low,images/drinks/eau_50cl.jpg
55,Eau Minérale 33cL,drinks,water,30,33cL mineral water,"vegan",0,1,0.82,all,any,low,images/drinks/eau_33cl.jpg
56,Thé Vert classique,drinks,tea,80,Classic green tea,"vegan",5,3,0.70,all,afternoon,low,images/drinks/the_vert.jpg
57,Thé Menthe,drinks,tea,80,Mint tea,"vegan",5,3,0.75,all,afternoon,low,images/drinks/the_menthe.jpg
58,Thé Fruits des bois,drinks,tea,80,Forest fruits tea,"vegan",5,3,0.65,all,afternoon,low,images/drinks/the_fruits_bois.jpg
59,Thé Verveine,drinks,tea,80,Verbena tea,"vegan",5,3,0.60,all,afternoon,low,images/drinks/the_verveine.jpg
60,Thé Fenouil,drinks,tea,80,Fennel tea,"vegan",5,3,0.55,all,afternoon,low,images/drinks/the_fenouil.jpg
